+--------+----------+----------------------+-------------------+
| d_year | brand_id | brand                | ext_price         |
| 1998   | 7016009  | corpnameless #9      | 749553.9199999999 |
| 1998   | 9003008  | exportimaxi #8       | 748776.9000000004 |
| 1998   | 8011007  | amalgmaxi #7         | 732416.6700000005 |
| 1998   | 7001007  | amalgbrand #7        | 724369.83         |
| 1998   | 7006001  | corpbrand #1         | 722864.1000000004 |
| 1998   | 7003009  | exportibrand #9      | 722514.1800000004 |
| 1998   | 7007005  | brandbrand #5        | 717642.52         |
| 1998   | 9006009  | corpmaxi #9          | 711267.1700000005 |
| 1998   | 8013007  | exportimaxi #7       | 708206.1599999993 |
| 1998   | 9008002  | namelessmaxi #2      | 706921.4199999998 |
| 1998   | 8005001  | scholarnameless #1   | 695636.7400000003 |
| 1998   | 8008005  | namelessnameless #5  | 693888.7699999998 |
+--------+----------+----------------------+-------------------+
